english,chinese
"TV shows, which you can watch on a phone. Books, which, if your eyes haven’t already burned through the back of your skull from being on your phone all the time, you can read on your phone. Murder podcasts, which are specifically made to be listened to on a phone.",电视节目可以在手机上看。书也可以在手机上看——如果你还没有因为一直盯着手机，觉得眼睛深处阵阵灼痛。还有谋杀案播客，它就是专门在手机上收听的。
"[As technology advances, will it continue to blur the lines between public and private? Sign up for Charlie Warzel’s limited-run newsletterSign up for Charlie Warzel’s limited-run newsletter to explore what’s at stake and what you can do about it.]",随着科技的进步，它会继续模糊公共和私人之间的界限吗？订阅查理·沃泽尔(Charlie Warzel)限时推出的时事通讯，探索其中的利害关系以及你能做些什么。
"Yes, your phone is potentially hazardous to whatever semblance of security you might have. Yes, there are many medical professionals who would attest to the deleterious effect modern technology has on the brains and interpersonal skills of adults. But hear me out: Maybe it’s worth it?",是的，手机可能会对你的安全构成潜在威胁。是的，有许多医学专家可以证明现代技术对成年人的大脑和人际交往能力会产生有害的影响。但是听我说：这也许是值得的？
"My phone knows so much about me. It knows where I am, how many steps I took to get there, the whisper of a thought I don’t remember even fully forming in my brain that somehow made its way to a search engine. It also knows I am addicted, which is why it doesn’t ever really have to worry about whether I’m creeped out by the digital eyes I can feel looking over my shoulder.",我的手机知道很多关于我的事。它知道我在哪里，知道我走了多少步才走到那里，它知道我的某个小念头在何时进入了搜索引擎，而我自己根本不记得它是什么时候在我脑海里形成的 。它也知道我上瘾了，所以它从来没有真正担心过我会不会被我一回头就能感觉到的数字眼睛吓住。
"Not long ago, Apple put a screen-time feature on the iPhone that’s supposed to, I don’t know, shame me into putting down the drug it won’t stop selling me. I use the statistics it collects as a challenge to spend even more time messing around on my phone. Only one hour and 37 minutes of social networking yesterday, you say? Let me put this informative book I was reading down and try to top that. But my phone already knows that’s what I’d want to do.",不久前，苹果公司在iPhone上添加了一个屏幕使用时间功能，我说不好，这可能是在羞辱我没能戒掉这种它根本没有停止向我出售的药物。我把它收集的数据当成一种挑战，花更多的时间在手机上到处乱看。你说我昨天只用了1小时37分钟看社交网络？让我把手头这本信息量很大的书放下来，试着打破这个记录。但我的手机已经知道我想要做什么。
 , 
"Kilometer Zero: Notre-Dame de Paris, the place from which distance in France is measured, the reference of a people, the starting point and endpoint, the “epicenter,” as President Emmanuel Macron put it. That is why so many people, religious or not, were in tears as the great cathedral burned. A part of themselves, their bearings, was aflame.",零公里：巴黎圣母院，法国距离丈量的零点，一个民族的参照点，是起点也是终点，是法国总统马纽埃尔·马克龙(Emmanuel Macron)所说的“中心”。这就是为什么当这座大教堂失火时，那么多人——无论是否是教徒——都在流泪。他们自身的一部分，他们的坐标，正在焚毁。
"Ransacked during the revolution in an anticlerical frenzy, restored and rebuilt during the 19th century after tempers cooled, site of imperial coronation, national liberation and presidential funerals, Notre-Dame became the nation’s soul, the place where France could reconcile its turbulent history, the monarchical and the republican, the religious and the secular.",法国大革命期间，巴黎圣母院在一场反对教权主义的狂热中遭到洗劫；到了19世纪，愤怒已经冷却，经过修复重建，它成为了举行帝王加冕典礼、民族解放运动和总统葬礼的场所，成为了这个国家的灵魂，成为法国与其动荡历史、君主制与共和制、宗教与世俗实现和解的地方。
"The centuries proved ecumenical. Time made the cathedral everyone’s, in France and beyond France. “A mine of memories,” said Claire Illouz, an artist born and raised in Paris. “For us all.”",几个世纪的光阴，证明了它的普世意义。无论是在法国还是法国之外，时间让它成为了每个人的大教堂。“我们所有人的一座记忆之矿，”在巴黎出生和长大的艺术家克莱尔·伊卢兹(Claire Illouz)说。
"What is Paris after all? Beauty. The horror of it lay in watching beauty burn, the delicate spire toppling into an inferno of 800-year-old beams. Here was the best of humankind, as powerful an expression as exists of the sacred, going up in black smoke.",巴黎究竟是什么？是美。它的恐怖之处在于看着美丽燃烧，精致的塔尖倒在800年历史的横梁构成的火海里。这是集人类之大成者，如同神圣存在般强大的表达，在黑烟中化为灰烬。
"The loss of human life is terrible to behold, but the destruction of beauty may be no less so. In a time of anxiety, of ugliness and hatred and lies, the blaze felt ominous. “Beauty is truth, truth beauty,” John Keats wrote, and that is “all ye need to know.”",人类生命的丧失是可怕的，但美的毁灭也许同样可怕。在一个充满焦虑、丑陋、仇恨和谎言的时代，这场大火让人感受到了不祥。“美即真理，真理即美，”约翰·济慈(John Keats)写道，“知道这个就够了。”
"A friend in Paris, Sarah Cleveland, wrote to me: “It was strangely quiet and still, as if people were in a trance, watching the fire boil inside the shell of the cathedral walls, like a caldron. The scene was solemn, reverent. Hopeless. It seemed impossible that something so monumental could be so fragile.”",我的巴黎朋友萨拉·克利夫兰(Sarah Cleveland)给我写信说：“静得出奇，人们仿佛陷入了恍惚，看着火焰在大教堂墙内沸腾，像一口大锅。场面庄严肃穆。还有绝望。如此具有纪念意义的东西竟然如此脆弱。”
"Civilization is fragile. Democracy is fragile, like that spire. It is impossible today, it is dangerous, to ignore that. When a universal reference goes up in smoke, an abyss opens up.",文明是脆弱的。民主是脆弱的，就像那个尖顶。今天，对此视而不见是不可能的，也是危险的。当一个普世参照物化为乌有时，一个深渊就打开了。
"I remember the cool of the immense interior, now open to the sky, during the summer of 1976, the first I lived in Paris. There was a heat wave. Rivers were reduced to a trickle, fountains dry, stores emptied of bottled water. People sat in the pews, stunned. Some prayed. Children played. The young and the old, the innocent and the wise, were gathered. Blue light filtered through the magnificent stained-glass rose windows above the portals. The air smelt of stone and candle wax.",我还记得1976年夏天，我第一次住在巴黎的时候，教堂那如今已经向天空敞开的庞大内室是凉飕飕的。当时有热浪来袭。河流变成了涓涓细流，喷泉干涸，商店里的瓶装水销售一空。人们坐在教堂里的长椅上发愣。有人在祈祷。孩童在玩耍。后辈与长辈，愚者与智者，聚在一起。蓝色的光线透过入口上方华丽的彩色玻璃窗射了进来。空气中有石头和烛蜡的气息。
"The holiness struck me as inclusive. Notre-Dame is a sanctuary, in a time when the American president spits on sanctuaries and has considered, as punishment, dumping poor migrants in those cities that dare to call themselves by that name.",那神圣给我的感觉是一种包容。巴黎圣母院是一个庇护所，而在这个时代，美国总统在唾弃庇护之所，并考虑将贫困的移民丢给那些敢于自称庇护所的城市作为惩罚。
"The half-lit cathedral I first saw as a young man allowed for human error, like those revolutionaries after 1789 lopping the stone heads off biblical kings they mistakenly took to be French. In time the children playing in the transept would be mine. Two of them were born in Paris, city of gilt and gravel, its islands pointing their prows to the bridges, its arteries anchored by Notre-Dame; the cathedral always there across the Seine, reassuring, its facade as solemn as the twin bell towers, its flanks fanciful as the flying buttresses and gargoyles, monumental from any angle whatsoever.",我在青年时代第一次看到的这座昏暗大教堂，是体谅人类犯下的错误的，比如1789年之后的那些革命者，他们误以为那些圣经中的国王是法国国王，于是砍掉了雕像的头颅。光阴荏苒，我的孩子们在圣母院的耳堂里玩耍。其中两个出生在巴黎，这座流光溢彩的砾石之城，它的小岛像一艘艘驶向桥梁的船，它的主干道由巴黎圣母院来锚定；这座大教堂总是在塞纳河的对岸，让人安心，它的外立面跟两座钟楼一样庄严，侧面像拱扶垛和滴水兽一样奇幻，不管从哪个角度看，它都赫然耸立在眼前。
"Our Lady of Paris is still there after the blaze, with her towers, roofless now. President Macron vowed to rebuild the cathedral. Money is pouring in. The French president was dignified, a reminder of the unifying power of dignity at a time when it has vanished from the White House.",大火过后，我们的巴黎女士还在那里，她的塔楼已经没有了屋顶。马克龙总统发誓要重建大教堂。资金大量涌来。这位法国总统举止尊严，当这种尊严已从白宫消失之际，他提醒人们，尊严还具有令人们团结起来的力量。
"Notre-Dame, Macron said, is “our history” and “our imaginary”: a means, in other words, to remember and an inspiration to all who aspire for something transcendent, beyond self. The contribution of President Trump, for whom self is all, was to suggest sending “flying water tankers” to douse the cathedral. His advice was ignored.",马克龙说，巴黎圣母院是“我们的历史”和“我们的想象”，换言之，它是一种记忆的方式，激励着所有追求某种超越的人。视自己为一切的特朗普总统的贡献是建议派遣“洒水飞机”灭火。他的建议被无视了。
"Perhaps, for an American, the closest thing to Notre-Dame, in its power to represent the nation, is the Statue of Liberty, work of a French sculptor. A mist hung over the water the other day, with the magical result that the torch of liberty hovered in the air, apparently detached. Seeing it, I imagined Emma Lazarus’s poem rewritten for the age of Trump:",也许，对一个美国人来说，就其代表国家的力量而言，最接近巴黎圣母院的东西就是由法国雕塑家创作的自由女神像。有一天，海面上笼罩着一层薄雾，带来一种神奇的效果，自由的火炬仿佛脱离了雕像，在空中盘旋。看着眼前这一幕，我想象着把埃玛·拉扎勒斯(Emma Lazarus)的诗为特朗普时代而改写：
"Give me your despots, your rich,",把你们的暴君、你们的富人，
"Your vulgar tax evaders yearning to flee,",你们企图溜走的可耻逃税者，
The depraved and debauched that itch,你们想偷东西的堕落败坏者交给我，
"To steal, I will make them free.",我要给他们自由。
"Send these, the dishonorable, to watch",把那些不体面的人交给我，看一看
How easy it is to corrupt like me.,像我这样败坏有多么容易。
"I don’t recall French civilization feeling so important in my lifetime. It’s what we have. There will be ugly polemics over the coming weeks, once the first shock passes, over who was responsible, how this disaster happened, what negligence was involved. But in those silent, reverent, hymn-singing crowds on the streets of Paris, I also saw the possibility of a French coming-together in the determination to rebuild — not only the cathedral, but also a nation shaken by the violence of the Yellow Vest movement and the social divisions it reflects. The story of Notre-Dame is a story of endurance and rebirth.",在我的一生中从未感觉到法国文明如此地重要。这就是我们所拥有的。未来几周，一旦第一波震颤过去，关于谁该对此负责、这场灾难是如何发生的、涉及了哪些疏忽，将会出现丑陋的争论。但在巴黎街头那些沉默、虔诚、唱着圣歌的人身上，我也看到了法国人团结起来，下定决心进行重建的可能——不仅要重建大教堂，还要重建一个被黄背心运动的暴力及其所反映的社会分裂所动摇的国家。巴黎圣母院的故事是一个坚忍和重生的故事。
"It is also a story of European civilization. Notre-Dame survived Hitler, just. Its fragility, now demonstrated, demands Europe’s unity, too.",这也是一个关于欧洲文明的故事。巴黎圣母院是从希特勒的手中幸存下来。如今它所呈现出的脆弱，同样需要欧洲的团结。
"In China, we have an old saying: “tian gao, huangdi yuan,” or, “the emperor is as far away as the sky.” We use it to reassure ourselves that in a country that is so big, with so many people, we can lose only so much freedom — the central government can’t monitor everyone.",中国有句老话，叫“天高皇帝远”。我们用它来宽慰自己，在一个面积这么大、人口这么多的国家，我们能失去的自由就这么些——中央政府不可能监控所有人。
"During my childhood in Shanghai in the 1990s, China thought of itself as working toward the so-called Singapore model. In middle school, my teacher told us that Singapore was a rich and beautiful country with an efficient, corruption-free government, and that China would be too, someday. I learned this model had a dark side only when I went to college, and a professor in international relations explained that Singapore was an authoritarian state, where the government wielded tremendous control over citizens’ daily lives.",我的童年时代是上世纪90年代在上海度过的，当时中国认为自己正朝着所谓的新加坡模式努力。在中学，我的老师告诉我们，新加坡是一个富裕又美丽的国家，有一个高效、廉洁的政府，未来有一天，中国也会那样。上大学的时候，我才知道这种模式的黑暗面，一位国际关系教授解释说，新加坡是一个专制国家，政府对民众的日常生活指手画脚。
"Even so, the idea that China would ever see either the best or the worst of the Singapore model seemed impossible. Singapore was a tiny city-state, with a population of less than six million; in China, tian gao, huangdi yuan. Today, however, it doesn’t seem so ridiculous: The emperor walks among us.",即便如此，中国走向新加坡模式，无论是它最好还是最差的一面，似乎都不太可能。新加坡是一个很小的城市国家，人口不足600万；而中国是天高皇帝远。不过在今天，这似乎没有那么荒谬了：皇帝就走在我们中间。
"It’s hard to say when I first became conscious of the idea that my privacy might be compromised. In 2010, when I graduated from college, I remember feeling optimistic about what the internet could offer. Books and movies that had once been banned in China for political reasons could be downloaded from 115 Wangpan, then the most popular Chinese cloud storage service. People talked about politics, albeit under pseudonyms, on forums like Tianya and Xici Hutong. Soon we had Weibo, the Chinese equivalent of Twitter. Whenever some sort of domestic scandal occurred, we could follow the commentary posted by public intellectuals there, so we wouldn’t have to simply accept the government’s narrative.",很难说我什么时候开始意识到自己的隐私可能会受到侵犯。2010年，当我从大学毕业时，我记得自己对互联网所能带来的改变，是感到乐观的。曾因政治原因在中国被禁的书籍和电影，可以从当时最受欢迎的云存储服务115网盘下载。人们在天涯、西祠胡同等论坛上谈论政治，尽管用的是网名。很快我们又有了微博，它相当于中国的Twitter。每当国内发生丑闻时，我们可以在上面关注那些公共知识分子发表的评论，这样我们就不用只接受政府的一面之词。
"At the time, I felt that all this social media would help us form a true public sphere, that it would push China toward democracy and freedom of speech. I had so much faith in the future of my country that I quit a master’s program in Britain in 2011. I couldn’t wait to go back home; I believed it was poised to become a place where idealists like me would thrive.",当时我觉得，所有这些社交媒体将帮助我们形成一个真正的公共领域，它将推动中国走向民主和言论自由。我对祖国的未来充满信心，因此，我在2011年放弃了在英国的硕士学习。我迫不及待地想回家；我相信它会成为一个像我这样的理想主义者如鱼得水的地方。
"Looking back now, I realize that things had already started to change. In 2008, a few months before the Beijing Olympics, riots erupted in Lhasa, the Tibetan regional capital. The following year, unrest broke out in Urumqi, the capital city of Xinjiang, with reports of minority Uighurs targeting Han Chinese for violence. These episodes prompted an escalation of security checks around the country. Shortly before the Shanghai World Expo in 2010, security checks were instituted in the subway system. We grew used to policemen checking people’s identity cards in interchange stations.",现在回过头来看，我才意识到事情在此之前就已经发生了变化。2008年，就在北京奥运会开幕前几个月，西藏地区首府拉萨爆发骚乱。次年，新疆首府乌鲁木齐爆发暴乱，有报道称，少数民族维吾尔人发起了针对汉人的暴力活动。这些事件促使全国各地加强了安全检查。2010年上海世博会前不久，它的地铁系统增加了安检。慢慢地，我们习惯了警察在换乘站检查身份证。
"Over the next couple of years, the Weibo accounts of influential public figures started being shut down. We would hear stories about people saying things in WeChat groups, then being detained by the police, often on charges of disturbing the social order. Those stories would then disappear from the internet, making it impossible to know what had really happened.",在接下来的几年里，一些有影响力的公众人物的微博账号开始被注销。我们会听到有人因为在微信群说的话而遭警察拘留，通常他们被控扰乱社会秩序。然后，这些消息会在网上遭到删除，人们搞不清楚到底发生了什么。
"I came to the United States for a master’s degree in 2016, and I am not sure whether the experience of living overseas has increased my sensitivity about matters of privacy or not. I do remember waking up one morning in 2017 to a story that had gone viral in my WeChat feeds overnight: “A BBC reporter challenged China’s surveillance network — and it took only seven minutes to capture him!” I couldn’t tell which terrified me more: China’s all-encompassing network of facial recognition surveillance cameras, or that my countrymen were proudly cheering them on.",2016年我来到美国攻读硕士学位，我不确定海外生活的经历是否增加了我对隐私问题的敏感度。我确实记得2017年的一个早晨，我在微信上看到一篇一夜走红的报道：“BBC记者挑战中国天网工程，潜逃七分钟后被抓获！”我说不出哪个更让我害怕：是中国无所不在的人脸识别监控摄像头网络，还是我的同胞们在骄傲地为它喝彩。
"Last spring, I went back to China for a book tour that took me to six cities. Entering train stations felt like crossing border control at an international airport — my identity was not only confirmed by someone checking my documents, but also by one of the ubiquitous facial recognition cameras. One day, while a friend was driving me home after a reading in Shanghai, I saw one of them ahead of us on the highway. Well, we can no longer do “bad” things, he said, noticing my discomfort. It was supposed to be a joke, but we fell into a long, dead silence.",去年春天，我回到中国，在六个城市为我的书做巡回宣传。进入火车站就像在国际机场通过边境管制一样——不仅有人检查我的文件并确认我的身份，无处不在的面部识别摄像头也在确认我的身份。有一天，在上海的读书会后，一个朋友开车送我回家，我在高速公路上看到前面有一个摄像头。他注意到我的不适，说我们都不能干“坏事”了。这本来是一个玩笑，但我们陷入了长时间的死寂。
"Many people in China seem to be happy about the physical security promised by the surveillance network. Our mind-set, long ago, was wired to see safety and freedom as an either-or choice. I remember a conversation I had during my first year in the United States, when I was visiting Chicago. A Chinese student told me he dared not walk alone in the city after 5 p.m. When I told him I’d recently taken a trip to a nearby 7-Eleven at 10 p.m. by myself to get a beer, he was shocked. “Why?” I asked him. “It’s a safe neighborhood.” Still pale, he said, “You only got lucky.”",许多中国人似乎对监控网络承诺的人身安全感到高兴。长久以来，我们的思维定势是将安全和自由视为非此即彼的选择。我记得我在美国第一年访问芝加哥的时候，一个中国学生告诉我，他不敢在下午5点以后一个人在城里走。我告诉他，我前不久晚上10点一个人去附近的7-11便利店买啤酒，他惊呆了。“为什么？”我问他。“这一带是安全的。”他依然面色苍白，说：“你运气好而已。”
"The disappearance in June 2017 of Yingying Zhang, a young Chinese visiting scholar, from the Urbana-Champaign campus of the University of Illinois only reinforced this sense of danger everywhere outside China. Her kidnapping by a former graduate student made headlines across the country. The post that got the most shares in my WeChat feeds the week she disappeared was titled, “When you come to the States, leave behind feelings of homegrown safety. ”",2017年6月，年轻的中国访问学者章莹颖在伊利诺伊大学的厄巴纳-香槟分校失踪一案进一步强化了这种中国之外到处都很危险的感觉。她被一名前研究生绑架的消息引起举国的关注。她失踪的那一周，分享到我微信朋友圈里最多的一个帖子是:“别把国内的安全感带到美国。”
"The other reason that my people seem not to worry about the violation of their privacy is that they believe they are law-abiding citizens. “Only criminals need to be afraid,” they say. But I’ve heard other stories.",我的同胞似乎不担心隐私受侵犯的另一个原因是，他们认为自己是守法公民。“只有罪犯才需要害怕，”他们说。但我听过其他的故事。
"In 2018, Wang Qian, a young single mother from Zhejiang Province, hanged herself after she lost her savings on a peer-to-peer lending platform called PPMiao. In her suicide note, which briefly appeared on social media, she confessed her frustrations: Because she’d been a victim of a financial fraud — and therefore had grievances — she was now considered a threat to public safety and order.",2018年，浙江省的年轻单身母亲王倩在P2P借贷平台票票喵上失去了积蓄，随后自缢身亡。她的自杀遗书在社交媒体上短暂出现，她在其中承认了自己的沮丧：由于她是一场金融欺诈的受害者——因此心怀不满——她被认为对公共安全和秩序构成威胁。
"She said that she, as well as hundreds of other victims who’d tried to stage protests over their treatment, had been beaten by the police. One month before her suicide, investors like her who’d lost their money had planned a rally in Beijing — but only a few managed to show up, because policemen and security guards had gathered on every street corner and at subway stations to check the identity cards of everyone who was nearing Beijing’s financial district. The protest, like most of the other protests in China, was never reported in domestic news outlets.",她说，她和其他数百名受害者一样，遭到了警察的殴打。她自杀前一个月，像她一样失去资金的投资者计划在北京举行集会，但只有少数几个人出现在现场，因为警察和保安人员聚集在每个街角，在地铁站检查所有接近北京金融区的人的身份证。与中国其他大多数抗议活动一样，国内新闻媒体从未报道过这次活动。
"But maybe Ms. Wang’s story seems irrelevant to the average person, or at least not cause for alarm. Many who lost money in similar schemes have opted to eat their losses rather than risk trouble; those who haven’t shake their heads smugly, and blame others for lending money in the first place, under schemes that should have seemed too good to be true.",但是，普通人或许会觉得王倩的故事和自己毫无关系，或者至少不值得大惊小怪。许多在类似事件中蒙受损失的人选择了接受现实，而不是冒着惹麻烦的风险；没有遭受损失的人只是沾沾自喜地摇头，说其他人一开始就不该把钱借出去，这样的骗局看上去太美好了，不可能是真的。
"More interestingly and perhaps sadly too, the idea of tian gao, huangdi yuan has been replaced by its opposite. We have such a large population, my countrymen now say, if we don’t keep a watch on them, there’s no guarantee of safety. What once seemed unrealistic is made possible by technology, and justified in the name of security.",更有趣或许也更悲哀的是，“天高皇帝远”的概念已经被它的反面所取代。我的同胞们现在说，我们有这么多人口，如果我们不监视他们，安全就得不到保证。曾经看似不现实的东西，如今被技术变成了可能，并以安全的名义得到了正当化。
"And nowadays, no one talks about the Singapore model anymore. They talk about the China model.",如今，再也没有人谈论新加坡模式了。他们谈论中国模式。
"President Trump and President Xi Jinping of China will probably soon reach a trade agreement, but that won’t solve the biggest problems.",特朗普总统和中国国家主席习近平可能很快就会达成贸易协议，但这无法解决最大的问题。
"The Chinese regime is interning people based on religion in a more systematic way than any other regime since perhaps the Nazis. Its tolerance of fentanyl trafficking leads to some 20,000 drug overdose deaths in the United States each year. It steals intellectual property and ratchets up persecution at home.",中国政府正在根据人民的宗教信仰采取可能自纳粹以来最系统的拘禁行动。它对芬太尼走私的纵容导致美国每年约有2万人因药物过量死亡。它窃取知识产权，并在国内加大迫害力度。
"I lived in China, speak Chinese and deeply admire the country. Yet I am increasingly repulsed by Xi’s China, for he is dragging the country in the wrong direction by imprisoning lawyers, journalists and people of faith; tightening controls over the internet; creating international security risks in the South China Sea; and fostering a personality cult around himself.",我在中国生活过，会说中文，非常钦佩这个国家。然而，我对习近平治下的中国越来越反感，因为他囚禁律师、记者和教徒；加强对互联网的控制；在南海制造国际安全风险；在自己周围培养个人崇拜，他把这个国家拖向错误的方向。
"In fairness, it’s also true that the Chinese government has helped lift more people out of poverty than any other government in human history. Just since 1990, the mortality rate for children under 5 has fallen in China by 83 percent — suggesting, by my calculations, that an additional 676,000 Chinese children survive each year who previously would have died.",公平地说，中国政府帮助很多人摆脱贫困，比人类历史上的任何政府都多，这是实情。自1990年以来，中国五岁以下儿童死亡率下降了83%——根据我的计算，这意味着中国每年新增67.6万名儿童存活下来，在此之前他们可能死亡。
"Those of us who condemn China for human rights violations must also acknowledge this uncomfortable truth: A child born in Beijing today has a substantially longer life expectancy (82 years) than a child born in Washington, D.C. (77 years).",我们这些谴责中国侵犯人权的人，必须承认一个令人不安的事实：如今，在北京出生的儿童的预期寿命（82岁）比在华盛顿出生的儿童（77岁）长得多。
"In short, the Xi regime is complicated. It cheats, oppresses and brutalizes, but it also educates, enriches and saves lives.",简而言之，习近平政权是复杂的。它欺骗、压迫而残暴，但它也在教育、充实和挽救生命。
"I’ve seen the worst of China: I was on Tiananmen Square in 1989 when troops opened fire on the crowd I was in. I’ve also seen the best: impoverished families in western China moving out of caves into modern homes and sending their children to universities. I used to believe that China was best approached with ambivalence, but in the last few years the ambivalence has faded into wariness.",我见过中国最坏的一面：1989年我就在天安门广场，军队向我所在的人群开火。我也见过最好的事情：中国西部的贫困家庭搬出窑洞，搬进现代化的房屋，送孩子上大学。我曾经认为，与中国打交道最好是带着点矛盾心理，但在最近几年，这种矛盾已逐渐演变成警惕。
"When a trade deal is reached, President Trump may hail it as a triumph, and it will probably result in announcements of Chinese purchases of American goods. A trade deal is a good thing, but I hope that the United States will work with allies and firmly stand up to China on three issues in particular.",当贸易协议达成时，特朗普总统可能会欢呼这是胜利，它可能会导致中国宣布购买美国商品。贸易协议是好事，但我希望美国能与盟友合作，在以下三个问题上格外坚定地对抗中国。
"First, to the extent possible, we should try to curb Chinese high-technology firms’ access to Western markets. These businesses are a security threat, and the Trump administration is right to be concerned. If a company like Huawei is asked to cooperate with Chinese State Security spies, its executives simply can’t say no.",首先，我们应该尽可能地限制中国高科技公司进入西方市场。这些企业是安全威胁，特朗普政府有理由感到担忧。如果像华为这样的公司被要求与中国国家安全间谍合作，它的高管们肯定不会说不。
"This doesn’t mean that China is evil. American companies sold telecommunications equipment to China beginning in the 1980s that let us intercept officials’ conversations there, and we have inserted cyber “back doors” into goods and software sold to China so that we can cause damage in the event of a conflict. China purchased a Boeing 767 in 2000 to be its presidential jet and it arrived riddled with listening devices. China inevitably will try to do to us what we already did to it.",这并不意味着中国是邪恶的。从1980年代开始，美国公司向中国出售电信设备，使我们能够窃听中国官员的谈话。我们还在向中国出售的商品和软件中植入网络“后门”，以便在发生冲突时进行破坏。2000年，中国购买了一架波音767飞机作为其领导人专机，飞机交付时安装了许多监听设备。中国将会试图对我们做的事情，我们也做过，这是不可避免的。
"Second, we should continue to highlight human rights, especially China’s internment of perhaps one million Muslims in re-education camps. This is a staggering affront to religious liberty, with Chinese officials reportedly forcing Muslims to violate their faith by eating pork and drinking alcohol.",第二，我们应该继续强调人权，特别考虑到中国在将大约100万穆斯林关押在再教育营地。这是对宗教自由的惊人侵犯，据报道，中国官员强迫穆斯林违背自己的信仰，吃猪肉、喝酒。
"Bravo to Secretary of State Mike Pompeo for forthrightly denouncing China’s “awful abuses” in detaining “hundreds of thousands and possibly millions of Uighurs,” as well as its persecution of Christians. The Chinese authorities have even installed monitoring cameras inside Muslims’ homes, and they have sent many Muslim parents to re-education camps, leaving the children left behind to be brainwashed in boarding schools.",国务卿迈克·庞皮欧(Mike Pompeo)直率地谴责了中国拘押“数十万可能是数百万维吾尔人”的“可怕的滥权行为”，以及中国对基督徒的迫害，他干得漂亮。中国当局甚至在穆斯林家中安装了监控摄像头，并将许多穆斯林家长送进再教育营，把孩子留在寄宿学校接受洗脑。
"Third, we need continued pressure on China over its exports of fentanyl, the synthetic opioid that is killing Americans in huge numbers through overdoses. Two-thirds or more of the fentanyl in the U.S. originates in China, where the authorities have been promising since 2016 to crack down on it.",第三，我们需要在芬太尼的出口问题上继续向中国施压，这种合成阿片类药物的服用过量正导致大量美国人死亡。美国三分之二或以上的芬太尼源自中国。自2016年以来，中国当局一直承诺对此事采取打击行动。
"A few days ago, China announced that it would soon ban all variants of fentanyl, a welcome step that may make a difference. But China often promises cooperation that does not materialize, and everything will depend on enforcement over the country’s 160,000 chemical companies. Too many lives hang in the balance to take China at its word.",几天前，中国宣布将很快禁止所有种类的芬太尼，这是一个令人欣喜的举措，可能会产生效果。但中国承诺的合作经常得不到实现，一切将取决于对中国16万家化工企业的执法。这关系到太多生命，不能只听中国嘴上说说就当真。
"About 20,000 Americans appear to be dying each year from Chinese fentanyl (some of it entering via Mexico). That’s a toll of devastation far greater than that caused by terrorists in the U.S. over multiple decades, and it should arouse far more outrage than Chinese companies pirating videos.",每年大约有两万名美国人死于中国的芬太尼（有些是从墨西哥进口）。这比几十年来恐怖分子给美国造成的破坏要严重得多，这应该激起比中国公司盗版视频更大的愤慨。
"So, sure, a good trade deal with China is welcome. But when so many Americans are dying from Chinese fentanyl, when one million Muslims are interned, when Emperor Xi is dragging China in the wrong direction, let’s not celebrate but, instead, keep up the international pressure.",当然，一项同中国的良好贸易协议是好事。但是，当这么多美国人死于中国的芬太尼，当100万穆斯林被拘禁，当习近平皇帝把中国拖向错误的方向时，我们不要庆祝，相反，要继续保持国际压力。
"If there’s one thing we know for certain about China in 2019, it’s that people there love their apps. They use WeChat to talk with friends; they spend hours battling virtual enemies on PUBG; they binge-watch short videos on Douyin. And so why shouldn’t the Communist Party get in on the action?",如果说2019年的中国有一件事是可以确定的，那就是人们对各种应用的喜爱。他们用微信和朋友聊天；投入大量时间在《绝地求生》(PUBG)上与虚拟敌人作战；在抖音上狂看短视频。既然如此，共产党何不参与进来呢？
"Xuexi Qiangguo — “study and make the nation great” — has become ubiquitous in China, an instant messenger, news aggregator and social network all in one introduced by the Publicity Department of the Central Committee of the Communist Party in January. The first and second characters in the name, when combined — xuexi — mean “study/learn”; the same character, xi, also happens to be the character in President Xi Jinping’s surname. The app’s name, thus, can also be read as “study Xi and make the nation great.” And the Chinese are doing so, by the tens of millions.",“学习强国”在中国已经变得无处不在了，这是中共中央宣传部在今年1月份推出的一款集即时通讯、新闻聚合和社交网络于一体的产品。这个名称中的第一个字和第二个字放在一起构成“学习”一词，而习字恰好也是国家主席习近平的姓。因此，这款应用的名字也可以理解为“向习学习，让国家变得强大”。而中国人正在这么做，数以千万计的中国人。
"As of late March, Xuexi Qiangguo had been downloaded over 73 million times on Huawei’s app store. It’s also currently the most-downloaded app on Apple’s Chinese app store, which is hard to reconcile with its average rating of just 2.7 stars out of five, until you take into account that all government and state-owned-enterprise employees, along with tens of millions of party members, have been “encouraged” to use it and, sometimes, to compete with one another for the highest score.",截至3月底，“学习强国”在华为应用商店的下载量已超过7300万次。它也是苹果中国应用商店里目前下载量最大的应用，但很难与其平均2.7颗星（满分是5颗星）的评级相匹配，直到你考虑到所有的政府和国企员工，以及数千万党员都被“鼓励”使用它，有时为了获得最高分数还相互竞争。
